OrganisationNo;LineDiscount;CustomerUnit;AccountManager;Municipality;County;Country;NoOfEmployees;Potential;AccessoryRatio;TargetAccessory;NSB;CPLow;Days;TargetDays;NrOfOrder;Software
4414;No;SMB Small;Unassigned_DK;Frederiksberg;Hovedstaden;Dustin Denmark;6,5;83265;0,030268;No;5138,07;0,08597197;50;9999;2;No
4415;No;SMB Small;Unassigned_NO;Bardu;Troms;Dustin Norway;1,3;0;1;No;3077,76;0,319251664;495;9999;1;No
4416;No;SMB Small;Not Defined;Helsinki;Uusimaa;Dustin Finland;1,8;4928,4;0,369569;No;4705,37;0,135927674;104;9999;2;No
4417;No;SMB Small;Unassigned_DK;Hørsholm;Hovedstaden;Dustin Denmark;1,8;24372;0;No;3018,92;0,059286102;167;9999;1;No
4418;No;SMB Small;Unassigned_SE;Haninge;Stockholm;Dustin Sweden;6,5;0;1;No;370;0,557648649;461;9999;1;No
4419;No;SMB Small;Unassigned_SE;Värmdö;Stockholm;Dustin Sweden;1,3;0;0;No;1499;0,064396264;560;9999;1;No
4420;No;SMB Mid;Unassigned_NO;Ullensaker;Akershus;Dustin Norway;159,2;1193256;0;No;10479,39;0,01093098;356;375;2;Yes
4421;No;SMB Small;Unassigned_DK;Rødovre;Hovedstaden;Dustin Denmark;1,8;17262;0;No;14125,9;0,151402742;132;9999;1;No
4422;No;SMB Small;Unassigned_SE;Örebro;Örebro;Dustin Sweden;1,8;39708;0,096513;No;60489;0,114378317;211;9999;5;No
4423;No;SMB Mid;Mid - Segmentet;Stockholm;Stockholm;Dustin Sweden;104,8;827920;0,540769;No;56083;0,219485762;13;9999;13;No
4424;No;SMB Mid;Unassigned_DK;København;Hovedstaden;Dustin Denmark;30;287700;0,359974;No;104269,54;0,183828278;5;69;16;Yes
4425;No;SMB Small;Unassigned_DK;Gentofte;Hovedstaden;Dustin Denmark;1,8;0;0,531822;No;2671,19;0,217981499;694;9999;1;No
4426;No;SMB Small;Not Defined;Seinäjoki;Etelä-Pohjanmaa;Dustin Finland;30;0;0,078306;No;15807,21;0,078383851;400;9999;2;No
4427;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;0;0;No;5599;0,092736203;553;9999;1;No
4428;No;SMB Small;Unassigned_SE;Tyresö;Stockholm;Dustin Sweden;1,8;0;0,339803;No;9994;0,130076046;643;9999;3;No
4429;No;SMB Small;Corporate SE Online;Helsingborg;Skåne;Dustin Sweden;1,8;8222,4;0,040853;No;33779,39;0,122994228;302;9999;6;No
4430;No;SMB Small;Unassigned_NO;Hol;Buskerud;Dustin Norway;1,3;15964;0,63545;No;1522,51;0,189910083;340;9999;1;No
4431;No;SMB Small;Unassigned_SE;Hammarö;Värmland;Dustin Sweden;1,8;19602;0,457547;No;6631;0,18607299;74;9999;4;No
4432;No;SMB Small;Unassigned_DK;Horsens;Midtjylland;Dustin Denmark;1,3;0;0;No;4620,4;0,072459094;467;9999;1;No
4433;No;SMB Small;Unassigned_SE;Österåker;Stockholm;Dustin Sweden;1,8;0;0,480688;No;35905,21;0,110011333;385;9999;14;No
4434;No;SMB Small;Unassigned_NO;Bømlo;Hordaland;Dustin Norway;1,3;7059;0,594258;No;9969,3;0,22725066;293;9999;4;No
4435;No;SMB Small;Unassigned_NO;Oslo;Oslo;Dustin Norway;1,8;0;0,212245;No;6687,2;0,221088049;477;9999;3;No
4436;No;SMB Small;Unassigned_SE;Malmö;Skåne;Dustin Sweden;1,3;13598;0,405126;No;11782,06;0,301263956;126;9999;7;No
4437;No;SMB Small;Unassigned_SE;Lund;Skåne;Dustin Sweden;13,4;145926;0,171954;No;76807,6;0,092939631;69;9999;5;No
4438;No;SMB Small;Unassigned_DK;Not Defined;Not Defined;Dustin Denmark;6;0;0;No;11886,92;0,209047424;26;9999;1;No
4439;Yes;Public;Public SE Online;Stockholm;Stockholm;Dustin Sweden;68;594320;0,579683;No;68058,65;0,089147081;315;9999;11;No
4440;No;SMB Small;Unassigned_SE;Varberg;Halland;Dustin Sweden;1,8;19602;0;No;6638;0,075899367;215;9999;1;No
4441;No;SMB Small;Unassigned_SE;Malmö;Skåne;Dustin Sweden;1,3;0;0;No;3749;0,150314751;438;9999;1;No
4442;No;SMB Small;Unassigned_SE;Sollentuna;Stockholm;Dustin Sweden;1,8;0;0,392494;No;986;0,212292089;729;9999;1;No
4443;No;SMB Small;Unassigned_SE;Solna;Stockholm;Dustin Sweden;1,8;0;0;No;185;0,504972973;628;9999;1;No
4444;No;SMB Small;Unassigned_SE;Kalmar;Kalmar;Dustin Sweden;1,8;18666;0,01582;No;37294;0,076103395;204;9999;8;No
4445;No;SMB Small;Unassigned_SE;Ekerö;Stockholm;Dustin Sweden;1,8;0;1;No;3274;0,254960293;650;9999;2;No
4446;No;SMB Small;Unassigned_NO;Søgne;Vest-Agder;Dustin Norway;1,3;9659;0,516009;No;3726,62;0,185159743;223;9999;2;No
4447;No;SMB Small;Unassigned_SE;Trollhättan;Västra Götaland;Dustin Sweden;13,4;0;0,281796;No;16700,01;0,150353802;433;9999;6;No
4448;No;SMB Small;Unassigned_SE;Ängelholm;Skåne;Dustin Sweden;13,4;112426;0,62529;No;144011,43;0,186926552;8;442;28;Yes
4449;Yes;SMB Small;Unassigned_SE;Norsjö;Västerbotten;Dustin Sweden;1,8;14220;0;No;5744,36;0,105748943;50;9999;2;No
4450;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;19602;0;No;9545;0,112390781;210;9999;3;No
4451;Yes;SMB Large;Christian Engemann Brandt;Århus;Midtjylland;Dustin Denmark;182,2;2350635;0,101438;No;2574539,47;0,111725543;7;749;275;Yes
4452;No;SMB Small;Unassigned_SE;Not Defined;Not Defined;Dustin Sweden;1;0;1;No;2162;0,069893617;34;9999;1;No
4453;No;SMB Small;Unassigned_SE;Falkenberg;Halland;Dustin Sweden;1,8;0;0,261252;No;7265;0,145004818;602;634;5;Yes
4454;No;SMB Small;Unassigned_NO;Oslo;Oslo;Dustin Norway;-1;0;0,773026;No;85989,15;0,226662085;656;9999;6;No
4455;No;SMB Small;Unassigned_DK;Frederiksberg;Hovedstaden;Dustin Denmark;1,8;23058;0,523832;No;2903,85;0,14364034;176;9999;1;No
4456;No;SMB Small;Unassigned_SE;Malmö;Skåne;Dustin Sweden;1,8;19602;0,223916;No;8812,2;0,050539025;280;9999;1;No
4457;No;SMB Small;Unassigned_SE;Vingåker;Södermanland;Dustin Sweden;13,4;0;0;No;4838;0,080932203;386;9999;1;No
4458;No;Public;Unassigned_DK;Odense;Syddanmark;Dustin Denmark;30;0;0;No;9160,99;0,147441488;524;9999;1;No
4459;No;SMB Small;Unassigned_SE;Sala;Västmanland;Dustin Sweden;1,8;15102;0;No;1535;0,146247557;33;9999;1;No
4460;No;SMB Small;Unassigned_DK;Roskilde;Sjælland;Dustin Denmark;8,3;112382;0,007839;No;24792,01;0,067899698;67;9999;4;No
4461;Yes;SMB Mid;Unassigned_NO;Kongsberg;Buskerud;Dustin Norway;68;375360;0,220401;No;488142,92;0,122138021;15;201;82;Yes
